key,bojTagId,displayNames_language,displayNames_name,displayNames_short
crt,19,37,ko,중국인의 나머지 정리,중국인의 나머지 정리
cactus,143,37,ko,선인장,선인장
biconnected_component,153,36,ko,이중 연결 요소,이중 연결 요소
mo,50,34,ko,mo's,Mo's
bellman_ford,10,33,ko,벨만–포드,벨만–포드
planar_graph,168,33,ko,평면 그래프,평면 그래프
pbs,54,31,ko,병렬 이분 탐색,병렬 이분 탐색
euler_phi,151,31,ko,오일러 피 함수,오일러 피 함수
extended_euclidean,27,31,ko,확장 유클리드 호제법,확장 유클리드 호제법
pigeonhole_principle,189,31,ko,비둘기집 원리,비둘기집
point_in_convex_polygon,56,31,ko,볼록 다각형 내부의 점 판정,볼록 다각형 내부의 점 판정
linked_list,154,30,ko,연결 리스트,연결 리스트
bipartite_graph,197,30,ko,이분 그래프,이분 그래프
divide_and_conquer_optimization,91,29,ko,분할 정복을 사용한 최적화,분할 정복을 사용한 최적화
splay_tree,69,28,ko,스플레이 트리,스플레이 트리
multi_segtree,166,27,ko,다차원 세그먼트 트리,다차원 세그먼트 트리
berlekamp_massey,110,26,ko,벌리캠프–매시,벌리캠프–매시
merge_sort_tree,155,25,ko,머지 소트 트리,머지 소트 트리
rotating_calipers,64,25,ko,회전하는 캘리퍼스,회전하는 캘리퍼스
regex,63,24,ko,정규 표현식,정규 표현식
dp_deque,108,24,ko,덱을 이용한 다이나믹 프로그래밍,덱을 이용한 다이나믹 프로그래밍
aho_corasick,2,24,ko,아호-코라식,아호-코라식
euler_characteristic,119,24,ko,오일러 지표 (χ=V-E+F),오일러 지표
link_cut_tree,98,22,ko,링크/컷 트리,링크/컷 트리
dp_connection_profile,107,22,ko,커넥션 프로파일을 이용한 다이나믹 프로그래밍,커넥션 프로파일을 이용한 다이나믹 프로그래밍
manacher,44,21,ko,매내처,매내처
rabin_karp,61,21,ko,라빈–카프,라빈–카프
slope_trick,157,21,ko,함수 개형을 이용한 최적화,함수 개형을 이용한 최적화
half_plane_intersection,190,21,ko,반평면 교집합,반평면 교집합
pollard_rho,58,19,ko,폴라드 로,폴라드 로
mobius_inversion,51,19,ko,뫼비우스 반전 공식,뫼비우스 반전 공식
tree_isomorphism,145,19,ko,트리 동형 사상,트리 동형 사상
miller_rabin,47,18,ko,밀러–라빈 소수 판별법,밀러–라빈 소수 판별법
hungarian,36,17,ko,헝가리안,헝가리안
linear_programming,103,17,ko,선형 계획법,선형 계획법
hall,34,16,ko,홀의 결혼 정리,홀의 결혼 정리
circulation,191,15,ko,서큘레이션,서큘레이션
numerical_analysis,122,15,ko,수치해석,수치해석
simulated_annealing,184,15,ko,담금질 기법,담금질 기법
point_in_non_convex_polygon,57,15,ko,오목 다각형 내부의 점 판정,오목 다각형 내부의 점 판정
alien,134,14,ko,Aliens 트릭,aliens 트릭
statistics,178,14,ko,통계학,통계학
dual_graph,181,13,ko,쌍대 그래프,쌍대 그래프
offline_dynamic_connectivity,52,13,ko,오프라인 동적 연결성 판정,오프라인 동적 연결성 판정
lucas,113,12,ko,뤼카 정리,뤼카 정리
duality,180,12,ko,쌍대성,쌍대성
voronoi,82,12,ko,보로노이 다이어그램,보로노이 다이어그램
dp_sum_over_subsets,207,12,ko,부분집합의 합 다이나믹 프로그래밍,부분집합의 합
general_matching,15,11,ko,일반적인 매칭,일반적인 매칭
matroid,104,10,ko,매트로이드,매트로이드
kitamasa,112,10,ko,키타마사,키타마사
discrete_log,146,9,ko,이산 로그,이산 로그
tree_compression,193,9,ko,트리 압축,트리 압축
tree_decomposition,204,9,ko,트리 분할,트리 분할
generating_function,198,9,ko,생성 함수,생성 함수
min_enclosing_circle,162,9,ko,최소 외접원,최소 외접원
burnside,16,8,ko,번사이드 보조정리,번사이드 보조정리
bidirectional_search,129,8,ko,양방향 탐색,양방향 탐색
utf8,199,7,ko,utf-8 입력 처리,utf-8
dominator_tree,135,7,ko,도미네이터 트리,도미네이터 트리
palindrome_tree,53,7,ko,회문 트리,회문 트리
stable_marriage,192,7,ko,안정 결혼 문제,안정 결혼
z,83,6,ko,z,Z
knuth,90,6,ko,크누스 최적화,크누스 최적화
top_tree,105,6,ko,탑 트리,탑 트리
dancing_links,173,6,ko,춤추는 링크,춤추는 링크
discrete_sqrt,147,6,ko,이산 제곱근,이산 제곱근
monotone_queue_optimization,165,6,ko,단조 큐를 이용한 최적화,단조 큐를 이용한 최적화
pick,187,5,ko,픽의 정리,픽
rope,159,5,ko,로프,로프
bayes,114,5,ko,베이즈 정리,베이즈 정리
knuth_x,174,5,ko,크누스 X,크누스 X
suffix_tree,182,5,ko,접미사 트리,접미사 트리
cartesian_tree,206,5,ko,데카르트 트리,데카르트 트리
geometry_hyper,132,5,ko,4차원 이상의 기하학,4차원 이상의 기하학
green,183,4,ko,그린 정리,그린
delaunay,21,4,ko,델로네 삼각분할,델로네 삼각분할
hirschberg,163,4,ko,히르쉬버그,히르쉬버그
directed_mst,23,4,ko,유향 최소 신장 트리,유향 최소 신장 트리
stoer_wagner,75,4,ko,스토어–바그너,스토어–바그너
chordal_graph,201,4,ko,현 그래프,현 그래프
degree_sequence,200,4,ko,차수열,차수열
majority_vote,160,3,ko,보이어–무어 다수결 투표,보이어–무어 다수결 투표
gradient_descent,208,3,ko,경사 하강법,경사 하강법
hackenbush,205,2,ko,하켄부시 게임,하켄부시 게임
differential_cryptanalysis,185,2,ko,차분 공격,차분 공격
geometric_boolean_operations,202,2,ko,도형에서의 불 연산,도형에서의 불 연산
a_star,186,1,ko,a*,a*
rb_tree,94,1,ko,레드-블랙 트리,레드-블랙 트리
birthday,203,1,ko,생일 문제,생일
functional_graph,211,1,ko,함수형 그래프,함수형 그래프
discrete_kth_root,149,1,ko,이산 k제곱근,이산 k제곱근
multipoint_evaluation,196,1,ko,다중 대입값 계산,다중 계산
polynomial_interpolation,209,1,ko,다항식 보간법,다항식 보간법
lte,212,0,ko,지수승강 보조정리,지수승강
flood_fill,210,0,ko,플러드 필,플러드 필
