tag_key,tag_id,tag_problem_num,tag_display_lang,tag_name,tag_name_short
scc,76,133,ko,강한 연결 요소,강한 연결 요소
inclusion_and_exclusion,38,128,ko,포함 배제의 원리,포함 배제의 원리
randomization,115,122,ko,무작위화,무작위화
sparse_table,84,118,ko,희소 배열,희소 배열
fft,28,109,ko,고속 푸리에 변환,고속 푸리에 변환
trie,79,107,ko,트라이,트라이
smaller_to_larger,169,95,ko,작은 집합에서 큰 집합으로 합치는 테크닉,작은 집합에서 큰 집합으로 합치는 테크닉
mcmf,48,94,ko,최소 비용 최대 유량,최소 비용 최대 유량
line_intersection,42,92,ko,선분 교차 판정,선분 교차 판정
sqrt_decomposition,130,92,ko,제곱근 분할법,제곱근 분할법
deque,73,91,ko,덱,덱
suffix_array,77,87,ko,접미사 배열과 LCP 배열,접미사 배열과 LCP 배열
geometry_3d,131,86,ko,3차원 기하학,3차원 기하학
cht,89,85,ko,볼록 껍질을 이용한 최적화,볼록 껍질을 이용한 최적화
calculus,111,85,ko,미적분학,미적분학
heuristics,142,80,ko,휴리스틱,휴리스틱
sprague_grundy,70,80,ko,스프라그–그런디 정리,스프라그–그런디 정리
sliding_window,68,79,ko,슬라이딩 윈도우,슬라이딩 윈도우
euler_tour_technique,150,77,ko,오일러 경로 테크닉,오일러 경로 테크닉
mitm,46,76,ko,중간에서 만나기,중간에서 만나기
centroid,188,74,ko,센트로이드,센트로이드
ternary_search,101,74,ko,삼분 탐색,삼분 탐색
lis,43,72,ko,가장 긴 증가하는 부분 수열: O(n log n),가장 긴 증가하는 부분 수열: O(n log n)
pythagoras,60,71,ko,피타고라스 정리,피타고라스 정리
hld,35,69,ko,Heavy-light 분할,Heavy-light 분할
kmp,40,69,ko,KMP,KMP
gaussian_elimination,32,68,ko,가우스 소거법,가우스 소거법
bitset,152,67,ko,비트 집합,비트 집합
centroid_decomposition,18,67,ko,센트로이드 분할,센트로이드 분할
permutation_cycle_decomposition,171,66,ko,순열 사이클 분할,순열 사이클 분할
modular_multiplicative_inverse,164,65,ko,모듈로 곱셈 역원,모듈로 곱셈 역원
mfmc,167,61,ko,최대 유량 최소 컷 정리,최대 유량 최소 컷 정리
physics,116,53,ko,물리학,물리학
eulerian_path,93,53,ko,오일러 경로,오일러 경로
queue,72,52,ko,큐,큐
2_sat,1,51,ko,2-sat,2-sat
articulation,4,50,ko,단절점과 단절선,단절점과 단절선
tsp,138,45,ko,외판원 순회 문제,외판원 순회 문제
0_1_bfs,176,45,ko,0-1 너비 우선 탐색,0-1 너비 우선 탐색
linearity_of_expectation,179,45,ko,기댓값의 선형성,기댓값의 선형성
pst,55,43,ko,퍼시스턴트 세그먼트 트리,퍼시스턴트 세그먼트 트리
flt,29,42,ko,페르마의 소정리,페르마의 소정리
polygon_area,3,42,ko,다각형의 넓이,다각형의 넓이
crt,19,37,ko,중국인의 나머지 정리,중국인의 나머지 정리
cactus,143,37,ko,선인장,선인장
biconnected_component,153,36,ko,이중 연결 요소,이중 연결 요소
mo,50,34,ko,mo's,Mo's
bellman_ford,10,33,ko,벨만–포드,벨만–포드
planar_graph,168,33,ko,평면 그래프,평면 그래프
pigeonhole_principle,189,32,ko,비둘기집 원리,비둘기집
pbs,54,31,ko,병렬 이분 탐색,병렬 이분 탐색
euler_phi,151,31,ko,오일러 피 함수,오일러 피 함수
point_in_convex_polygon,56,31,ko,볼록 다각형 내부의 점 판정,볼록 다각형 내부의 점 판정
linked_list,154,30,ko,연결 리스트,연결 리스트
bipartite_graph,197,30,ko,이분 그래프,이분 그래프
extended_euclidean,27,30,ko,확장 유클리드 호제법,확장 유클리드 호제법
divide_and_conquer_optimization,91,29,ko,분할 정복을 사용한 최적화,분할 정복을 사용한 최적화
splay_tree,69,28,ko,스플레이 트리,스플레이 트리
multi_segtree,166,27,ko,다차원 세그먼트 트리,다차원 세그먼트 트리
berlekamp_massey,110,26,ko,벌리캠프–매시,벌리캠프–매시
rotating_calipers,64,25,ko,회전하는 캘리퍼스,회전하는 캘리퍼스
euler_characteristic,119,25,ko,오일러 지표 (χ=V-E+F),오일러 지표
regex,63,24,ko,정규 표현식,정규 표현식
dp_deque,108,24,ko,덱을 이용한 다이나믹 프로그래밍,덱을 이용한 다이나믹 프로그래밍
aho_corasick,2,24,ko,아호-코라식,아호-코라식
merge_sort_tree,155,24,ko,머지 소트 트리,머지 소트 트리
